,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
9791188005734,9791188005734,"중학수학 총정리 한권으로 끝내기 중학교 1, 2, 3학년의 수학개념 ‘한권으로 완전정복’",이규영 /고희권 기획,쏠티북스,2020년 08월 31일,15750,중고등참고서
9791158711405,9791158711405,위대하고 아름다운 십 대 이야기,박일환,청어람e(청어람미디어),2020년 09월 09일,12350,청소년
9788965136187,9788965136187,"인권과 민주주의, 뭔데 이렇게 중요해?",크리스티네 슐츠-라이스 /베레나 발하우스 그림/손희주 역,리듬문고,2020년 09월 29일,12150,청소년
9788983898593,9788983898593,내가 바로 그 악마입니다,서석영 글,풀과바람,2020년 09월 25일,10800,청소년
9791130604626,9791130604626,이토록 공부가 재미있어지는 순간 공부에 지친 청소년들을 위한 힐링 에세이  [ 10만 부 기념 스페셜 에디션 ],박성혁,다산북스,2020년 07월 27일,13500,청소년
9791188977543,9791188977543,나는 프랑스어로 행복한 인생을 배웠다 프랑스어를 망설이는 당신에게 건네는 단 하나의 책!,손원곤,슬로디미디어,2020년 08월 24일,13500,자기계발
9788986836714,9788986836714,수의 여왕,가와조에 아이 /김정환 역,청미래,2020년 08월 25일,11700,소설/시/희곡
9791158771720,9791158771720,나는 공부 대신 논어를 읽었다 [ 2020년 우수출판콘텐츠 제작 지원 사업 선정작 ],김범주,바이북스,2020년 07월 10일,12600,청소년
9788961772426,9788961772426,넌 혼자가 아니야 자해 제대로 알고 대처하기,"푸키 나이츠미스 /음미하다 그림/안병은, 문현호 역",다림,2020년 09월 30일,11400,청소년
9791161727752,9791161727752,핵무기와 국제정치 쫌 아는 10대 착한 핵무기는 없다,김준형 글/방상호 그림,풀빛,2020년 09월 10일,11700,청소년
9791190282123,9791190282123,글을 쓴다는 것 삶의 의미를 더하는 작가의 말,케빈 니퍼트 /금정연 역,지노,2020년 08월 31일,13500,에세이
9788963193724,9788963193724,14살에 시작하는 처음 서양 고전,명로진 /서은경 그림,북멘토,2020년 08월 27일,12600,청소년
9791160946765,9791160946765,한국사 복원 프로젝트 타임슬립 2119,"임어진, 정명섭, 이하, 김소연",사계절,2020년 08월 21일,10800,청소년
9788989874393,9788989874393,우리 집이 불타고 있다 툰베리와 위기의 행성,마이클 파트 /김연정 역,굿모닝미디어,2020년 06월 25일,11700,청소년
9788936456894,9788936456894,페인트,이희영,창비,2019년 04월 19일,10800,청소년
9791197067242,9791197067242,15살이 쓴 미국 유학 도전기,김하은,플랫폼연구소,2020년 09월 24일,10800,청소년
9791156752752,9791156752752,#좋아요의 맛,미나 뤼스타 /손화수 역,푸른숲주니어,2020년 09월 23일,8820,청소년
