,Unnamed: 0,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
20,9791196702984,9791196702984,나의 두려움을 여기 두고 간다 [ 친필 사인본 ],하정,좋은여름,2020년 08월 05일,14850,에세이
21,9791166030352,9791166030352,"문학을 따라, 영국의 길을 걷다 아름다운 풍경, 낭만적인 문학, 그리고 사람을 만나는 북 잉글랜드 횡단 도보여행 일기",김병두,이담북스(이담Books),2020년 07월 31일,18000,에세이
22,9791162143360,9791162143360,여행이거나 사랑이거나,윤정은,부크럼,2020년 07월 13일,12600,에세이
23,9791196534837,9791196534837,한번쯤 포르투갈 다정한 위로를 건네는 그곳,허혜영,앤에이북스,2020년 07월 07일,13500,에세이
24,9788925536774,9788925536774,"반짝이는 일을 미루지 말아요 세계일주 그 후, 나를 찾아가는 여정  [ 초판한정부록: 포토 엽서 5종(책과랩핑) ]",여행자 May,알에이치코리아(RHK),2020년 06월 10일,13500,에세이
25,9791197021602,9791197021602,오래 준비해온 대답 김영하의 시칠리아  [ 개정증보판 ],김영하,복복서가,2020년 04월 29일,14850,에세이
26,9788970129501,9788970129501,"먼 북소리 낭만과 감성이 넘치는 하루키의 유럽 여행기  [ 양장, 개정판 ]",무라카미 하루키 /윤성원 역,문학사상,2019년 09월 18일,14400,에세이
27,9791187316497,9791187316497,"일본에서 한 달을 산다는 것 여행 같은 일상, 일상 같은 여행","양영은, 김민주, 김일숙, 임지현, 한정규  외 15명
                    
정보 더 보기/감추기



양영은
김민주
김일숙
임지현
한정규
조은혜
전지혜
이다슬
박장희
이채안
최정은
우소연
손경일
윤수연
임경원
김세린
김연경
이미진
김태우
유승아",세나북스,2019년 06월 20일,13050,건강 취미
28,9788967820848,9788967820848,"행복해지는 법을 아무도 가르쳐주지 않아서 3,500km 미국 애팔래치아 트레일을 걷다",이하늘,푸른향기,2019년 01월 03일,13500,에세이
29,9788994939667,9788994939667,몽생미셸 몽생미셸 지식가이드 한주영의 노르망디 포토 에세이,한주영,테라(TERRA),2017년 10월 25일,12150,건강 취미
30,9788925545752,9788925545752,빌 브라이슨의 대단한 호주 여행기,빌 브라이슨 /이미숙 역,알에이치코리아(RHK),2012년 01월 10일,12420,에세이
31,9788974832803,9788974832803,앨버트로스의 똥으로 만든 나라 [ 양장 ],요리후지 분페이 그림,서해문집,2006년 05월 15일,7200,에세이
0,9791157062027,9791157062027,"현대 한국 지성의 모험 100년의 기억, 100년의 미래  [ 양장 ]",김호기,메디치미디어,2020년 09월 20일,18000,역사
1,9791186712641,9791186712641,35년 1 1910-1915 무단통치와 함께 시작된 저항(박시백의 일제강점기 역사만화),박시백 글그림,비아북,2018년 01월 02일,12600,역사
2,9788965292487,9788965292487,"한국의 선각자를 찾아서 서재필부터 박정희까지, 동상으로 만나다",이상도,씽크스마트,2020년 09월 10일,13500,역사
3,9788984355378,9788984355378,조선경찰 포도청을 통해 바라본 조선인의 삶,허남오,가람기획,2020년 08월 28일,14220,역사
4,9791187100881,9791187100881,"팬데믹 1918 역사상 최악의 의학적 홀로코스트, 스페인 독감의 목격자들",캐서린 아놀드 /서경의 역,황금시간,2020년 09월 07일,16200,역사
5,9791186828212,9791186828212,이사부 독도를 걷다,손승철,역사인,2020년 09월 17일,20000,역사
6,9791190475259,9791190475259,"지도와 사진으로 보는 제1,2차 세계대전 세트 [ 전2권, 양장 ]",A. J. P. 테일러 /유영수 역,페이퍼로드,2020년 10월 17일,46800,역사
7,9791188522798,9791188522798,돌팔이 의학의 역사 엉터리 만병통치약에 대한 무시무시한 이야기  [ 컬러 ],"리디아 강, 네이트 페더슨 /부희령 역",더봄,2020년 09월 03일,22500,역사
8,9791190908719,9791190908719,세계사를 바꾼 15번의 무역전쟁 춘추전국시대부터 팍스 아메리카나까지,"자오타오, 류후이 /박찬철 역",위즈덤하우스,2020년 08월 27일,13500,역사
9,9788950989842,9788950989842,"삼국시대, 진실과 반전의 역사 유물과 유적으로 매 순간 다시 쓰는 다이나믹 한국 고대사",권오영,21세기북스,2020년 08월 27일,15300,역사
10,9791165523404,9791165523404,대마도와 7년 전쟁 신용권의 역사기행  [ 개정증보판 ],신용권,지식과감성#,2020년 08월 07일,16200,역사
11,9788961849579,9788961849579,기억과 인식 일본은 아시아·태평양전쟁을 어떻게 기억하고 인식하는가  [ 양장 ],"나리타 류이치, 요시다 유타카 편/히토쓰바시대학 대학원 언어사회연구과 한국학연구센터 역",어문학사,2020년 09월 01일,23400,역사
