,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
9791188912872,9791188912872,"우주를 만지다
삶이 물리학을 만나는 순간들",권재술,특별한서재,2020년 09월 29일,14400,자연과학
9791165212773,9791165212773,"사이코패스 뇌과학자
괴물은 태어나는가, 만들어지는가 
[ 양장 ]",제임스 팰런,더퀘스트,2020년 09월 23일,14400,자연과학
9791190908771,9791190908771,"1분 과학
세상에서 가장 놀라운 꿀잼 과학 이야기",이재범,위즈덤하우스,2020년 09월 03일,15120,자연과학
9791136247308,9791136247308,"보통의 우리가 알아야 할 과학
세상 돌아가는 걸 알려주는 사회학자의 생존형 과학 특강",윤석만,타인의사유,2020년 09월 15일,15120,자연과학
9788965964001,9788965964001,"오리진
지구는 어떻게 우리를 만들었는가",루이스 다트넬,흐름출판,2020년 09월 20일,18000,자연과학
9791163632269,9791163632269,속 보이는 생물 1 : 세포와 항상성 지키기,김대준,동아엠앤비,2020년 09월 01일,15300,청소년
9791130631165,9791130631165,"험블 파이
세상에서 수학이 사라진다면",매트 파커,다산사이언스,2020년 08월 31일,19800,자연과학
9788993746891,9788993746891,"지금은 공학소녀시대
공학으로 진로를 디자인하는 소녀들을 위한 여성 공학인 선배들의 멘토링",오명숙,북센스,2020년 09월 29일,12150,청소년
9791188569199,9791188569199,"나는 플랜트 엔지니어입니다
입사 2년차 초보 엔지니어가 리드 엔지니어가 되기까지, 현장감 넘치는 5년의 기록",박정호,플루토,2020년 09월 29일,14400,자연과학
9788934990307,9788934990307,"나는 풍요로웠고, 지구는 달라졌다",호프 자런,김영사,2020년 09월 04일,13950,자연과학
9791164050727,9791164050727,인류세: 인간의 시대,최평순,해나무,2020년 09월 03일,14850,자연과학
9788962623482,9788962623482,"김민준의 이너스페이스
나노로봇공학자, 우리와 우리 몸속의 우주를 연결하다",김민준,동아시아,2020년 09월 09일,13500,자연과학
9788970017136,9788970017136,감정이 어려워 정리해 보았습니다,최낙언,예문당,2020년 09월 22일,16200,자연과학
9788934990093,9788934990093,"인간 무리, 왜 무리지어 사는가
[ 양장 ]",마크 모펫,김영사,2020년 08월 13일,26820,자연과학
9791157843893,9791157843893,"퀀텀
만화로 배우는 양자역학과 상대성이론",로랑 셰페르,한빛비즈,2020년 02월 25일,17820,자연과학
9788962622713,9788962622713,"파란하늘 빨간지구
기후변화와 인류세, 지구시스템에 관한 통합적 논의",조천호,동아시아,2019년 03월 29일,14400,자연과학
9788961412575,9788961412575,"이것이 침향이다
내 몸을 살리는 침향의 놀라운 비밀 
[ 컬러 ]",김영섭,중앙생활사,2020년 10월 10일,17100,건강 취미
9791197126703,9791197126703,"큐브의 모험
천재들의 장난감 ‘루빅큐브’의 기상천외 연대기",루비크 에르뇌,생각정원,2020년 09월 01일,13500,자연과학
9791163860525,9791163860525,"거의 모든 것의 종말
과학으로 보는 지구 대재앙의 역사",밥 버먼,예문아카이브,2020년 09월 10일,14400,자연과학
9791196624095,9791196624095,처음 만난 양봉의 세계,프리드리히 폴,돌배나무,2020년 09월 10일,17100,자연과학
9788959896783,9788959896783,"세상의 모든 수 이야기 
숫자로 떠나는 경이로운 지식여행",앤드류 엘리엇,미래의창,2020년 09월 07일,17100,자연과학
9791158711399,9791158711399,"괴짜 과학자와 신비한 안개상자
원자의 세계를 발견한 찰스 윌슨 이야기",옌스 죈트겐,청어람e(청어람미디어),2020년 08월 21일,11400,청소년
9788960518025,9788960518025,"노화의 종말
하버드 의대 수명 혁명 프로젝트",데이비드 A. 싱클레어,부키,2020년 07월 30일,19800,자연과학
9791187886501,9791187886501,"장르 작가를 위한 과학 가이드 
과학적 진실성을 갖춘 SF, 판타지, 기타 장르소설을 쓸 수 있게 해 주는 전문가들의 조언",댄 코볼트,구픽,2020년 08월 10일,16200,인문
9791189895020,9791189895020,"딥메디슨
인공지능, 의료의 인간화를 꿈꾸다",에릭 토폴,소우주,2020년 07월 10일,18000,자연과학
9788925536934,9788925536934,"마음의 오류들 
고장 난 뇌가 인간 본성에 관해 말해주는 것들",에릭 캔델,알에이치코리아(RHK),2020년 07월 01일,21600,자연과학
9791157844241,9791157844241,까면서 보는 해부학 만화,압듈라,한빛비즈,2020년 06월 19일,16650,자연과학
9791187890164,9791187890164,"달콤한 나의 도시양봉
외롭고 바쁘고 고된 도시인, 벌과 눈 맞다",최우리,나무연필,2020년 06월 05일,15750,자연과학
9788976044136,9788976044136,"한국춘란 가이드 북 입문편
대한민국 명장이 직접 전수하는",이대건,문예춘추사,2020년 05월 31일,23750,건강 취미
9788972917014,9788972917014,바디 : 우리 몸 안내서,빌 브라이슨,까치(까치글방),2020년 01월 10일,20700,자연과학
9788901238920,9788901238920,"꽃은 알고 있다
꽃가루로 진실을 밝히는 여성 식물학자의 사건 일지",퍼트리샤 윌트셔,웅진지식하우스,2019년 12월 18일,14850,인문
9788965022893,9788965022893,통계학 超초 입문,다카하시 요이치,지상사,2020년 01월 03일,12330,경제 경영
9791190149099,9791190149099,"수학으로 들어가 과학으로 나오기
사고 습관을 길러주는 흥미로운 이야기들",리용러,하이픈,2019년 12월 16일,15300,자연과학
9791160802825,9791160802825,"혼자이고 싶지만 외로운 과학자의
사회성이 고민입니다",장대익,휴머니스트,2019년 08월 24일,11700,자연과학
9791188248926,9791188248926,"나는 농담으로 과학을 말한다
무심코 읽었다가 쓸데없이 똑똑해지는 책",오후,웨일북,2019년 07월 19일,15750,자연과학
9791189198107,9791189198107,"세실의 전설
인간과 사자의 공존을 꿈꾸는 사람들",브렌트 스타펠캄프,사이언스북스,2018년 07월 02일,12150,자연과학
9788967260286,9788967260286,"조선시대 과학의 순교자
시대를 앞선 통찰로 불운하게 생을 마감했던 우리 과학자들",이종호,사과나무,2018년 02월 26일,13500,자연과학
