,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
9791161980911,9791161980911,2020 엔지닉 반도체 전공면접 합격의 모든 것 이론 완성편,"서재범, 윤보열, 홍기찬, 위포트 엔지닉 연구소",위포트,2020년 04월 08일,21420,수험서 자격증
9791196785765,9791196785765,은행 필기 기출분석! 한 권으로 끝내는 핵심 경제 이론,더빅스쿨 인적성 연구소,더빅스쿨,2020년 10월 30일,14400,수험서 자격증
9791136007025,9791136007025,2021 에듀윌 9급 공무원 공통과목 7개년 기출PACK 국어 영어 한국사,"성정혜, 신형철, 송운학 편",에듀윌,2020년 09월 29일,26100,수험서 자격증
9791136007049,9791136007049,2021 EBS 에듀윌 전산회계 2급 기출문제집,김성수,에듀윌,2020년 09월 23일,13500,수험서 자격증
9791164421053,9791164421053,큰별쌤 최태성의 별★별 한국사 한국사능력검정시험 심화 (상),최태성,이투스북,2019년 12월 31일,13050,수험서 자격증
9791136007032,9791136007032,2021 EBS 에듀윌 전산회계 1급 기출문제집 [ 개정판 ],박진혁,에듀윌,2020년 09월 23일,14400,수험서 자격증
9791165760533,9791165760533,2021 김중규 4.0 선행정학개론 9급 세트 9급/7급/공사·공단/군무원/특채/경찰간부/승진 대비  [ 전2권 ],"김중규, 최영희",에스티유니타스,2020년 05월 20일,41310,수험서 자격증
9791164421114,9791164421114,큰별쌤 최태성의 별★별 한국사 한국사능력검정시험 심화 (하),최태성,이투스북,2020년 01월 31일,13050,수험서 자격증
9791188161294,9791188161294,2021 공준모 NCS 직업기초능력평가 4주 완성 기본편,김세준,공취달,2020년 10월 01일,19800,수험서 자격증
9791136006967,9791136006967,2021 에듀윌 경찰공무원 형법판례집 [ 개정판 ],강기주 편,에듀윌,2020년 09월 23일,21600,수험서 자격증
9791190302050,9791190302050,2021 선재국어 매일 국어 술술 한자 시즌 1,이선재,수비니겨,2020년 09월 21일,10800,수험서 자격증
9791136006790,9791136006790,2020 하반기 에듀윌 롯데그룹 L-TAB 실전모의고사 3회,에듀윌 취업연구소편,에듀윌,2020년 09월 16일,18000,수험서 자격증
9791136006813,9791136006813,2021 에듀윌 9급 공무원 6개년 기출문제집 국어 [ 개정판 ],배영표,에듀윌,2020년 09월 09일,13500,수험서 자격증
9791136006837,9791136006837,2021 에듀윌 9급 공무원 6개년 기출문제집 한국사 [ 개정판 ],신형철,에듀윌,2020년 09월 09일,13500,수험서 자격증
9791190680035,9791190680035,2021 민준호 사회 기출문제집 [ 전2권 ],민준호,호인북스,2020년 09월 10일,34200,수험서 자격증
9791186787274,9791186787274,아나운서 절대로 하지마라 나대지 않고 은밀하게 아나운서 준비하기,"유지수, 백원경, 이지민, 서연미, 채선아",흔들의자,2020년 09월 05일,15120,자기계발
9791136005731,9791136005731,2020 하반기 에듀윌 GSAT 삼성직무적성검사 최신기출유형+실전모의고사 5회+온라인 실전연습 서비스,에듀윌 취업연구소 편,에듀윌,2020년 07월 02일,18900,수험서 자격증
9791136004734,9791136004734,"2020 에듀윌 한국사능력검정시험 기출문제집 심화(1, 2, 3급) [ 부록 : 근현대사 극복노트 ]",에듀윌 한국사교육연구소 편,에듀윌,2020년 04월 08일,16200,수험서 자격증
9788952509208,9788952509208,법학개론 경비지도사 1차 시험 대비 시리즈,남궁승태,엑스퍼트(한국교육기획),2020년 02월 10일,22500,수험서 자격증
9791163716303,9791163716303,2020 전한길 한국사 최신 1개년 기출문제집,전한길,에스티유니타스,2019년 09월 30일,10350,수험서 자격증
9791164421091,9791164421091,큰별쌤 최태성의 별★별 한국사 한국사능력검정시험 고급(1·2급) (상),최태성,이투스북,2019년 05월 31일,13050,수험서 자격증
9791136007186,9791136007186,2021 에듀윌 공무원 영어 매일 3문 독해 기본완성 [ 개정판 ],성정혜 편,에듀윌,2020년 09월 29일,15300,수험서 자격증
9791136007193,9791136007193,2021 에듀윌 공무원 영어 매일 3문 독해 실력완성 [ 개정판 ],성정혜 편,에듀윌,2020년 09월 29일,15300,수험서 자격증
9791161981079,9791161981079,2020 하반기 최신판 위포트 GSAT 삼성직무적성검사 파이널 실전 봉투 모의고사,위포트연구소,위포트,2020년 09월 24일,15120,수험서 자격증
9791125481317,9791125481317,취업 합격의 공식 [최신 이슈 & 상식] 2020년 10월호,시사상식연구소,시대고시기획 시대교육,2020년 09월 25일,9000,수험서 자격증
9791125480495,9791125480495,2020 하반기 All-New 한전KPS NCS 봉투모의고사 6회분 [ 개정4판 ],NCS직무능력연구소 편,시대고시기획 시대교육,2020년 10월 15일,12600,수험서 자격증
9791161981093,9791161981093,2020 하반기 최신판 위포트 한국전력공사 KEPCO 직무능력검사 NCS 실전 봉투 모의고사 사무 전기 ICT 및 기술 분야 대비  [ 개정판 ],위포트 연구소,위포트,2020년 09월 28일,11610,수험서 자격증
9791125481096,9791125481096,2021 기출이 답이다 9급 공무원 사회복지직 3개년 기출문제집 [ 개정5판 ],SD공무원시험연구소 편,시대고시기획 시대교육,2020년 11월 05일,22500,수험서 자격증
9791188567171,9791188567171,김윤상의 공사공단 올인원 경영학 [기출문제],김윤상,도서출판현,2020년 09월 07일,24000,수험서 자격증
9791125732372,9791125732372,2020 NCS 신한은행 직업기초능력평가 하반기 일반직·RS직 채용 대비,취업적성연구소 편,서원각,2020년 09월 30일,14400,수험서 자격증
9791125480426,9791125480426,2020 하반기 All-New 인천국제공항공사(인국공) NCS+전공+실전모의고사 3회 [ 개정11판 ],NCS직무능력연구소 편,시대고시기획 시대교육,2020년 10월 05일,19800,수험서 자격증
9791125481003,9791125481003,2020 하반기 채용대비 All-New GSAT 삼성 직무적성검사 4급 전문대졸 채용 최종모의고사 5회 [ 개정9판 ],SD적성검사연구소 편,시대고시기획 시대교육,2020년 09월 25일,16200,수험서 자격증
9791125480006,9791125480006,2021 육·해·공군 ROTC/학사장교 KIDA 간부선발도구+근현대사 [ 개정 13판 ],SD장교수험기획실,시대고시기획 시대교육,2021년 01월 05일,23400,수험서 자격증
9791125479925,9791125479925,2021 EBS 스포츠지도사 2급 필기 기출문제+모의고사 [ 개정판 ],SD기획연구소 편,시대고시기획 시대교육,2021년 01월 05일,21600,수험서 자격증
9791125480921,9791125480921,2020 하반기 수시채용대비 기출이 답이다 LG그룹 온라인 인적성검사 [ 개정6판 ],SD적성검사연구소 편,시대고시기획 시대교육,2020년 09월 25일,14400,수험서 자격증
9791125480129,9791125480129,2021 농촌지도사 농촌지도론 핵심이론 합격공략 [ 개정판 ],SD공무원시험연구소 편,시대고시기획 시대교육,2021년 01월 05일,25200,수험서 자격증
9791125480457,9791125480457,2020 하반기 All-New 한국공항공사 NCS 기출예상문제+실전모의고사 4회 [ 개정8판 ],NCS직무능력연구소 편,시대고시기획 시대교육,2020년 10월 05일,19800,수험서 자격증
9791125480440,9791125480440,2020 하반기 All-New 한국가스공사 NCS+전공+실전모의고사 4회 [ 개정15판 ],NCS직무능력연구소,시대고시기획 시대교육,2020년 10월 05일,21600,수험서 자격증
9791125480433,9791125480433,2020 하반기 All-New 한전KPS NCS 기출예상문제+실전모의고사 4회 [ 개정11판 ],NCS직무능력연구소 편,시대고시기획 시대교육,2020년 10월 05일,19800,수험서 자격증
