,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
9791157062027,9791157062027,"현대 한국 지성의 모험 100년의 기억, 100년의 미래  [ 양장 ]",김호기,메디치미디어,2020년 09월 20일,18000,역사
9791186712641,9791186712641,35년 1 1910-1915 무단통치와 함께 시작된 저항(박시백의 일제강점기 역사만화),박시백 글그림,비아북,2018년 01월 02일,12600,역사
9788965292487,9788965292487,"한국의 선각자를 찾아서 서재필부터 박정희까지, 동상으로 만나다",이상도,씽크스마트,2020년 09월 10일,13500,역사
9788984355378,9788984355378,조선경찰 포도청을 통해 바라본 조선인의 삶,허남오,가람기획,2020년 08월 28일,14220,역사
9791187100881,9791187100881,"팬데믹 1918 역사상 최악의 의학적 홀로코스트, 스페인 독감의 목격자들",캐서린 아놀드 /서경의 역,황금시간,2020년 09월 07일,16200,역사
9791186828212,9791186828212,이사부 독도를 걷다,손승철,역사인,2020년 09월 17일,20000,역사
9791190475259,9791190475259,"지도와 사진으로 보는 제1,2차 세계대전 세트 [ 전2권, 양장 ]",A. J. P. 테일러 /유영수 역,페이퍼로드,2020년 10월 17일,46800,역사
9791188522798,9791188522798,돌팔이 의학의 역사 엉터리 만병통치약에 대한 무시무시한 이야기  [ 컬러 ],"리디아 강, 네이트 페더슨 /부희령 역",더봄,2020년 09월 03일,22500,역사
9791190908719,9791190908719,세계사를 바꾼 15번의 무역전쟁 춘추전국시대부터 팍스 아메리카나까지,"자오타오, 류후이 /박찬철 역",위즈덤하우스,2020년 08월 27일,13500,역사
9788950989842,9788950989842,"삼국시대, 진실과 반전의 역사 유물과 유적으로 매 순간 다시 쓰는 다이나믹 한국 고대사",권오영,21세기북스,2020년 08월 27일,15300,역사
9791165523404,9791165523404,대마도와 7년 전쟁 신용권의 역사기행  [ 개정증보판 ],신용권,지식과감성#,2020년 08월 07일,16200,역사
9788961849579,9788961849579,기억과 인식 일본은 아시아·태평양전쟁을 어떻게 기억하고 인식하는가  [ 양장 ],"나리타 류이치, 요시다 유타카 편/히토쓰바시대학 대학원 언어사회연구과 한국학연구센터 역",어문학사,2020년 09월 01일,23400,역사
9791160804669,9791160804669,광기와 우연의 역사 인류 역사를 바꾼 운명의 순간들  [ 개정판 ],슈테판 츠바이크 /안인희 역,휴머니스트,2020년 08월 10일,16200,역사
9791189426965,9791189426965,35년 7 1941-1945 밤이 길더니... 먼동이 튼다,박시백 글그림,비아북,2020년 08월 15일,14400,역사
9791190351201,9791190351201,"기록자의 윤리, 역사의 마음을 생각하다  문학으로서의 『사기』 읽기",최경열 역,북드라망,2020년 07월 17일,20700,역사
9788928514595,9788928514595,한국 신이·요괴 사전 신·신선·귀신·요괴·이인·꿈·주술  [ 양장 ],최인학,민속원,2020년 07월 08일,39500,역사
9791130630366,9791130630366,30개 도시로 읽는 세계사 세계 문명을 단숨에 독파하는 역사 이야기,조지무쇼 편/최미숙 역/진노 마사후미 감수,다산초당,2020년 07월 06일,15120,역사
9791197035258,9791197035258,읽기만 하면 내 것이 되는 1페이지 한국사 365,심용환,비에이블,2020년 06월 17일,14850,역사
