,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
9791165342333,9791165342333,"당신의 인생을 정리해드립니다
삶이 바뀌는 신박한 정리",이지영,쌤앤파커스,2020년 10월 08일,13500,가정 살림
9791188700691,9791188700691,"아이를 위한 하루 한 줄 인문학 유럽 문화예술 편
아이의 세계와 시각을 넓혀줄 예술 문장 100",김종원,청림Life,2020년 10월 07일,14400,가정 살림
9788993267792,9788993267792,"자존감 높은 아이로 키우는 애착육아
[ 개정판 ]",윌리엄 시어스,푸른육아,2020년 09월 17일,13320,가정 살림
9791136248787,9791136248787,"내 아이에게 들려주는 매일 심리학
아이의 지성, 사회성, 인성을 키우는 30가지 심리 이야기",이동귀,니들북,2020년 09월 18일,12150,가정 살림
9791160023022,9791160023022,"엄마의 사랑법
엄마는 자녀를 어떻게 사랑해야 하는가",장성오,메이트북스,2020년 09월 17일,13500,가정 살림
9791197065910,9791197065910,"초등 공부머리를 위한
하루 15분 인문학 지혜 독서법",심정섭,체인지업,2020년 09월 10일,15300,가정 살림
9788956993980,9788956993980,우리 아이는 어쩌다 입을 닫았을까,로즈 W. 그린,한문화,2020년 07월 31일,13500,가정 살림
9791165212650,9791165212650,"내가 들어보지 못해서, 아이에게 해주지 못한 말들
5,000가정을 변화시킨 정신과 의사의 따뜻한 대화 습관 28",다나카 시게키,길벗,2020년 09월 01일,12420,가정 살림
9791158771881,9791158771881,"영어 그림책, 하브루타가 말을 걸다
엄마와 아이가 행복해지고 영어가 재밌어지는 독서법",이영은,바이북스,2020년 09월 05일,11700,가정 살림
9791190920025,9791190920025,"이탈리아 집밥
푸근한 할머니 음식에서 미슐랭 셰프의 레시피까지",정해리,브.레드,2020년 09월 10일,16200,가정 살림
9791185473611,9791185473611,"채식 연습
천천히 즐기면서 채식과 친해지기",이현주,레시피팩토리(단행),2020년 08월 11일,15120,가정 살림
9791162850640,9791162850640,"음식에도 마스크를 씌워야 하나요
팬데믹 시대의 식사는 어떻게 변화해야 하는가",임선영,마음의숲,2020년 09월 28일,13500,건강 취미
9791190242615,9791190242615,"한 그릇 싹~ 비우는 서현이네 유아식
편식 걱정 끝! 세상 편한 레시피",한온유,베가북스,2020년 09월 25일,13320,가정 살림
9791164260706,9791164260706,낭만브레드 식빵,이미영,더테이블,2020년 09월 18일,19800,가정 살림
9788927811350,9788927811350,"집에서 외식하기
뻔한 집밥의 눈부신 변신! 요리부터 플레이팅까지, 홈스토랑 레시피 110 
[ 개정판 ]",박선희,중앙북스(books),2020년 08월 05일,16200,가정 살림
9788956593869,9788956593869,"재미 만점 초등 글쓰기 
읽고 쓰기 힘들어하던 아이가 180도 바뀌는",황경희,예문,2020년 09월 22일,12420,가정 살림
9791186650950,9791186650950,"육아가 힘들 때 그림책에게 배웁니다
힘든 육아 감정과 고민을 해결해 준 그림책 이야기",김주현,글담,2020년 09월 15일,12600,가정 살림
9791130631134,9791130631134,"완전학습 바이블
배운 것을 100% 이해하는 후천적 공부머리의 비밀 
[ 부모를 위한 습관노트 (포인트차감) ]",임작가,다산에듀,2020년 08월 18일,15300,가정 살림
9791164352418,9791164352418,"내 아이를 위한 마법의 교육법
잘 풀리는 아이에겐 비밀이 있다",김기원,좋은땅,2019년 04월 22일,12420,가정 살림
9791186650356,9791186650356,"지금 시작하는 엄마표 미래교육
코딩부터 창의력까지, 4차산업혁명시대의 인재로 키우는 8가지 자녀교육법",이지은,글담,2017년 06월 20일,12420,가정 살림
9788998010935,9788998010935,"2021 월급쟁이 부자들 가계부
쓰기만 해도 돈이 모이는 초간단 재테크",월급쟁이 부자들 카페,위즈덤하우스,2020년 09월 17일,11700,가정 살림
9791161340852,9791161340852,"365일 파운드케이크
계절을 만끽하는 68가지 레시피",다카이시 노리코,터닝포인트,2020년 10월 05일,14400,가정 살림
9791190776172,9791190776172,"진작 아이한테 이렇게 했더라면
11년 차 부모 교육 전문가가 알려주는 아이와의 본질적인 사랑 회복법",안정희,카시오페아,2020년 09월 14일,14400,가정 살림
9791188476251,9791188476251,"우리는 숲에서 살고 있습니다
부모와 아이가 함께 성장하는 1미터 육아",곽진영,더블유미디어,2020년 09월 04일,14400,가정 살림
9791155361535,9791155361535,"미니멀라이프 부엌 사용법
인기 미니멀리스트 23인의 부엌 관리 아이디어",주부의 벗,즐거운상상,2020년 09월 15일,12600,가정 살림
9788963193731,9788963193731,"아이의 습관을 바꾸는 칭찬 효과
 0세부터 10세까지 연령별 육아 솔루션",허영림,북멘토,2020년 09월 03일,13050,가정 살림
9788998258214,9788998258214,"중학생 뇌가 달라졌다
KBS 시사기획 창 10대 스마트폰 절제력 프로젝트",이흥철,마더북스,2020년 08월 31일,14400,가정 살림
9788969930347,9788969930347,감성쌀구움과자,더날케이크,수작걸다,2020년 09월 26일,21600,가정 살림
9788968332746,9788968332746,"초등 엄마 관계 특강
대치동 교육 전문가 샤론코치의 학부모 관계 솔루션 68+",이미애,물주는아이,2020년 09월 22일,14220,가정 살림
9791158740863,9791158740863,"열혈엄마 똑똑한 육아법 
0~24개월, 헬육아 말고 꿀육아",백다은,미디어숲,2020년 09월 30일,15120,가정 살림
9791164062300,9791164062300,엄마표 세마디 생활영어,박현영,길벗스쿨,2020년 04월 23일,11700,가정 살림
9788997390052,9788997390052,"우리집은 한자 어휘력 놀이터
[ 책속부록 : 아이가 만드는 한자카드 밑그림 책 ]",김정미,이지스퍼블리싱,2012년 06월 18일,12420,가정 살림
9791187440673,9791187440673,"우리 아이 키 성장 비책
영양, 운동, 습관, 그리고 한방으로 완성하는",하동림,트로이목마,2020년 10월 08일,12420,가정 살림
9791191104004,9791191104004,"초등 감정 연습
아이의 감정 조절부터 엄마의 마음챙김까지",박태연,유노라이프,2020년 10월 05일,13500,가정 살림
9791190938426,9791190938426,초등 아이가 공부에 푹 빠지는 법,기쿠치 히로타다,상상출판,2020년 10월 05일,13320,가정 살림
8809332973196,8809332973196,"2021 가계부
매일매일 5분 투자로 내가 우리집 재무설계사",아르고나인 스튜디오,아르고나인미디어그룹,2020년 09월 15일,6000,가정 살림
9791191090987,9791191090987,"Z세대 부모를 위한 SNS 심리학 
소셜 미디어는 아이들의 마음과 인간관계, 삶을 어떻게 바꾸는가",케이트 아이크혼,현대지성,2020년 09월 18일,11700,가정 살림
9791190779159,9791190779159,"김충원 미술 수업 세트
[ 전3권/부록 : 스케치 패드(책과랩핑) ]",김충원,진선아트북,2020년 09월 22일,35100,건강 취미
9791156161929,9791156161929,"남자아이 맞춤 육아법
야단치지 않아도 제대로 가르치는 방법",하라사카 이치로,리스컴,2020년 09월 14일,11700,가정 살림
8809479180112,8809479180112,2021 맘마미아 가계부,맘마미아,진서원,2020년 09월 11일,10800,가정 살림
9791196977771,9791196977771,"내 아이를 위한 목소리 태교
엄마 아빠의 목소리로 사랑하는 아이와 마주하기",김나연,보일러,2020년 09월 10일,14220,가정 살림
9791197122200,9791197122200,"앙금플라워레시피
앙금플라워 기초교과서",조영화,종이학,2020년 09월 25일,25200,가정 살림
9791188915347,9791188915347,"Mom 편한 엄마표 생활 영어
세 가지 쉬운 패턴으로 아이의 말문이 터진다!",레지나,소울하우스,2020년 09월 15일,12150,가정 살림
9791190758185,9791190758185,"박막례시피
배부르다고 착각하지 마 
[ [초판 한정] 박막례 할머니 손글씨 인사와 사인, 김유라 피디 사인 인쇄본(인사말 3종 중 랜덤 발송) ]",박막례,미디어창비,2020년 09월 14일,15750,가정 살림
9791190467636,9791190467636,"마흔, 욕심을 비우고 취향을 채우다
인생을 다시 설레게 하는 마흔의 생활 관리법 43",야나기사와 고노미,반니라이프,2020년 08월 31일,11700,가정 살림
9791188700677,9791188700677,"하루 10분의 기적 초등 패턴 글쓰기
아이의 글머리가 5일 안에 완성된다!",남낙현,청림Life,2020년 09월 09일,13500,가정 살림
9791190820622,9791190820622,"화 잘 내는 좋은 엄마
상처 주지 않고 아이를 성장시키는, 지혜롭게 화내는 방법",장성욱,라온북,2020년 08월 28일,13050,가정 살림
9791170286844,9791170286844,아이를 크게 키운 고전 한마디,김재욱,한솔수북,2020년 08월 25일,13500,가정 살림
9791158463373,9791158463373,"냠냠티처 유아 식판식 
엄마는 편하고 아이는 잘 먹는",원세희,비타북스(VITABOOKS),2020년 09월 01일,13050,가정 살림
9791190938389,9791190938389,"문성실의 우리집 요리 백과
행복한 우리 가족 밥상 레시피 330",문성실,상상출판,2020년 08월 20일,16110,가정 살림
9791125476955,9791125476955,"EGG
달걀로 만드는 40가지 레시피",김순희,시대인,2020년 08월 10일,12600,가정 살림
9791188053919,9791188053919,"토마토가 다한 요리
셰프만 알고 있는 토마토 비밀 레시피 33",김봉경,이덴슬리벨(EAT&SLEEPWELL),2020년 08월 17일,13320,가정 살림
9788931463194,9788931463194,"라탄으로 만드는 감성 소품
다양한 기법을 이용한 24가지 라탄 소품",김수현,영진닷컴,2020년 08월 20일,15300,건강 취미
9788966378296,9788966378296,결혼생활 행복하세요?,이창순,미다스북스(리틀미다스),2020년 08월 11일,13500,가정 살림
9791190938051,9791190938051,"쉽고 맛있게
진짜 캠핑 요리
버너 하나로 간편하게 만드는 베스트 캠핑 레시피 140",이미경,상상출판,2020년 07월 27일,13950,가정 살림
