,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
9791190067300,9791190067300,마흔 넘은 여자는 무슨 재미로 살까?,김영미,치읓,2020년 09월 30일,13320,자기계발
9788901245263,9788901245263,잘 쉬는 기술 어떻게 쉬어야 할지 모르는 사람들을 위한 최고의 휴식법 10가지,클라우디아 해먼드 /오수원 역,웅진지식하우스,2020년 09월 22일,16200,자기계발
9788972773405,9788972773405,고전 읽기 독서법 기적을 부르는 완벽한 고전 독서 교육,임성훈,리드리드출판,2020년 10월 15일,13320,자기계발
9791162541661,9791162541661,우아하게 이기는 여자 일 잘하는 여자가 절대 포기하지 말아야 할 것들,윤여순,비즈니스북스,2020년 09월 28일,12600,자기계발
9791190227100,9791190227100,지극히 사적인 그녀들의 책 읽기,손문숙 /윤혜옥 사진,힘찬북스,2020년 09월 28일,13320,자기계발
9791163430315,9791163430315,독립생활보다 시간독립부터 먼저 하셔야겠습니다 일과 삶의 밸런스를 위한 '시간독립 프로젝트!',이영직,스마트비즈니스,2020년 09월 18일,13500,자기계발
9791157686551,9791157686551,한마디 먼저 건넸을 뿐인데 아무도 몰라주던 나를 모두가 알아주기 시작했다!,이오타 다쓰나리 /민혜진 역,동양북스(동양books),2020년 09월 28일,12420,자기계발
9788931590029,9788931590029,내가 예민한 게 아니라 네가 너무한 거야,유은정,성안당,2020년 09월 14일,13500,자기계발
9791190356770,9791190356770,끝까지 해내는 사람들의 1일 1분 루틴  1만 2천 명의 습관을 바꿔준 목표 실현법,오히라 노부타카 /황혜숙 역,센시오,2020년 10월 08일,13050,자기계발
9791166111587,9791166111587,"운의 힘 돈보다 운, 상위 1% 운의 비밀",박성준,소미미디어,2020년 09월 24일,14580,자기계발
9791156028352,9791156028352,나는 왜 마음이 약할까? 마음에 상처받지 않는 법,조관일,행복에너지,2020년 09월 15일,16000,자기계발
9791160022964,9791160022964,"명상, 참 마음이 따뜻해",배영대,메이트북스,2020년 09월 14일,13500,자기계발
9788936514532,9788936514532,나이 들수록 머리가 좋아지는 법 중년 이후 뇌기능에 대한 반전,이호선,홍성사,2020년 09월 04일,13300,자기계발
9791158771898,9791158771898,믿으면 이루어지는 꿈의 원리,윤대현,바이북스,2020년 09월 15일,12600,자기계발
9791165212599,9791165212599,성과로 이어지는 일습관 일 잘하는 사람들은 습관으로 승부한다,하지은,길벗,2020년 09월 23일,13500,자기계발
9788997947218,9788997947218,"내일, 퇴사합니다 예측할 수 없는 미래, 퇴사를 내 삶의 선물로 만드는 법",홍제미나,지와수,2020년 09월 15일,14400,자기계발
9788947546201,9788947546201,"하루 한 권, 독서의 힘 삶의 근육을 키우는",남영화,한국경제신문i,2020년 09월 16일,13500,자기계발
9791197126741,9791197126741,"에이트 : 씽크 인공지능의 딥러닝을 이기는 동서양 천재들의 생각법  [ 양장, 개정증보판 ]",이지성,차이정원,2020년 09월 15일,17820,자기계발
9788901243665,9788901243665,김미경의 리부트 코로나로 멈춘 나를 다시 일으켜 세우는 법,김미경,웅진지식하우스,2020년 07월 01일,14400,자기계발
9791160579932,9791160579932,신입사원일 때 알았더라면 좋았을 것들 일머리와 개념을 두루 갖춘 상위 1% 에이스 되는 법,류영숙,마일스톤,2020년 09월 29일,12600,자기계발
9788947546218,9788947546218,독서의 기적 평범한 사람도 특별하게 만드는,정미숙,한국경제신문i,2020년 09월 16일,13500,자기계발
