,Title,ConRate,DesRate,Author,Date,Content,BookCode
0,[서평] 카카오톡 이모티콘 만들기,5,5,soay1004g,2020-10-05,"저는 평소 메신저를 사용할 때이모티콘을 매우 자주 사용하는 편인데요.이모티콘을 사용하면서이렇게 예쁘고 귀여운 이모티콘하나 만들어 보고싶다는 생각을 한 번쯤 해봤었답니다.'카카오톡 이모티콘 만들기' 책은이모티콘을 제작하기에 앞서 필요한 준비물과 이모티콘 시장 조사,이모티콘 기획을 위한 아이디어 구상과 캐릭터 설정 및 연출 방법,스케치부터 다양한 동작 및 효과 작업,플랫폼으로 출시 및 상품화 · 저작권까지실제 이모티콘 작가로 활동 중이신김소희(소콘소콘) 작가님의 노하우가 가득 담긴 책이에요.책은 이모티콘 알아보기/이모티콘 준비하기/이모티콘 기획하기캐릭터 설정하기/콘티 만들기멈춰있는 이모티콘 작업하기/움직이는 이모티콘 작업하기제안하기/작가로 활동하기로 총 9개의 파트가 있고이모티콘의 기획 · 제작 · 승인 · 상품화까지의모든 과정을 책 한 권으로 배울 수 있다는 점이가장 메리트가 아닐까 싶어요.'카카오톡 이모티콘 만들기' 책은 매 파트마다 이렇게 실습노트가 있는데요.이모티콘 제작이 처음인 초보분들에게이런 실습노트는 이모티콘 제작이 좀 더 수월할 수 있도록많은 도움을 주리라 생각됩니다.또 이모티콘 제작만 다루는 것이 아니라이모티콘 캐릭터뿐만 아니라 표정, 소품, 문구 등부수적인 요소도 세세하게 설명되어 있고,SNS로 홍보하는 방법과 이모티콘 작가로서캐릭터의 저작권을 보호할 수 있는 저작권 등록방법까지이모티콘 제작 이후의 방법들도 세심하게 담겨져있더라구요.제가 직접 책을 읽어보면서, ""이모티콘 제작 해보고 싶다."" 라는생각이 ""이모티콘 제작 할 수 있겠다."" 라고 바뀌었을 정도면책이 얼마나 유용했는지 이해가 가시리라 믿어요.제 주변이나 이 글을 보고 계신 분들 중이모티콘 제작에 대해 고민하고 있는 분들이 계신다면김소희(소콘소콘) 작가님의 '카카오톡 이모티콘 만들기' 책을 적극 추천해드립니다.- 출판사로부터 도서를 제공받아 작성한 리뷰입니다 -",9791165212698
1,카카오톡 이모티콘 만들기 서평,5,5,wonha417,2020-10-01,"책의 모든 내용에 대한 느낌을 적지 않고,일부 내용에 대한 느낌점만 적었습니다.책 구매를 고민하고 있는 분꼐 도움이 되면 좋겠습니다. :)대체 어떤 사람들이 이모티콘을 만드는지너무 궁금했던만큼 내 호기심을 채울 수 있는 책이다!여러 플랫폼에 입점한 이모티콘 작가들은 아무나 하는게 아니라고 생각하고그림을 잘 그려야지만 이모티콘 작가가 될 수 있다고 생각했다.책의 도입부에 짧은 Q&A가 있는데그림을 못 그리더라도 이모티콘 작가가 될 수 있다는 답변을 보고나도 이모티콘을 만들 수 있다는 자신감이 생겼다.0 파트부터 8 파트로 나뉘어져 총 9개의 대단원으로 구성되어 있는데서론 부분에 속하는 0파트는 이모티콘에 대한 개념 등을 적어놓았다.2 파트부터 7 파트까지는 이모티콘 작업을 어떻게 하는지가르쳐주는 파트들로 한 단원이 끝나면실습 노트가 나온다.실습노트는 이모티콘을 만들기 위한 가이드 라인을 제공하고 있는 느낌이다.대표이미지 삭제각 파트에 들어가면 이런 식으로 세분화하여파트별 주제에 맞게 설명을 적어놓았다.일단 좋았던 점은 이모티콘을 준비하는데 필요한 장비들을 가르쳐주고,지료를 수집하는 방법을 가르쳐주는 게 좋았다.이모티콘을 만들었다 하더라도어떻게 심사를 받고 제안을 하는지 등을 알지 못했는데구체적으로 설명이 되어있다.단계별로 아이디어를 생각해내고,그것을 구체화시키고, 캐릭터로 만드는 것을 도와주는데나는 파트 3 부분이 제일 좋았다.그래도 이모티콘은 그림이 있어야 제맛인데그림을 잘 그리지 못하고 이미지를 형상화시키지 못하는 편인데캐릭터를 어떻게 그리면 좋은지, 자신만의 특징을 어떻게 부각시키면 좋을지 등을적어놓았기 때문이다.어떤 캐릭터를 만들지 구상했다면포토샵을 사용하여 그것을 그려야하는데포토샵을 못하는 사람이라도 따라할 수 있도록포토샵 사용 방법도 설명해주고 있다.움직이는 이모티콘을 할지, 움직이지 않는 이모티콘을 할지 정하고이모티콘을 만든 후플랫폼들에게 만든 이모티콘을 어떻게 제안하면 되는지,이모티콘이 어떻게 상품화 되는지도 적혀있다.이 책은 나처럼 이모티콘을 만들고 싶다는 생각을 하는 사람이 본다면정말 도움이 되는 책이라고 생각한다.이모티콘을 만들기 위해 필요한 첫 단계인 아이디어부터플랫폼에 제안하고 판매하는 것까지의 방법이 적혀져 있고,그것을 기획하기 위해 어떻게 자료를 수집하면 되는지 역시 가르쳐주기 때문이다.",9791165212698
2,카카오톡 이모티콘 만들기 - 김소희 (소콘소콘),5,5,그로우,2020-09-29,"카카오톡을 하면 빠질 수 없는 게 귀여운 이모티콘입니다. 구입하여 사용하던 이모티콘을 직접 제작 출시할 수 있다는 걸 알았게 되었을 땐 놀랍고 흥미로웠어요.궁금한 게 생길 때면 소콘소콘 작가님의 유튜브를 보며 이모티콘에 대해 많이 알게 되었습니다. 이번에 유튜브로만 보던 내용을 책으로 만나 볼 수 있어 기대되었습니다.'카카오톡 이모티콘 만들기'라는 이모티콘의 아이디어 구상부터 상품화 과정까지 누구나 만들 수 있게 작가님의 노하우가 담긴 책입니다.이모티콘에 관심이 갔지만 내가 하기에는 어렵고 힘든 작업이라 생각했는데 기초부터 잘 정리된 책을 보고 용기를 가져보기로 했습니다. 책을 읽어보기 전에는 이모티콘을 만들 수 있는 프로그램 위주의 설명일 줄 알았는데 책을 펼쳐보니 생각과 많이 달랐습니다.이모티콘에 관한 근본적인 목적을 이해하며 제작 시 필요한 준비 과정 등 이론적인 설명이 잘 되어있었습니다. 마치 교과서처럼 정리된 내용은 이모티콘을 처음 접해보는 분들이 봐도 쉽게 이해할 수 있도록 자세히 설명돼 있었습니다. 목차는 총 8 파트로 나눠져 차례대로 배우다 보면 멈쳐있는 이모티콘과 움직이는 이모티콘을 제작해 볼 수 있습니다. 각 파트의 마지막 장에는 실습노트가 있어 하나씩 채워 나가다 보면 나만의 이모티콘이 점차 구체적으로 구상됩니다. 구상이 다 끝나다면 프로그램을 이용하여 제작해 봅니다. 포토샵 기본 화면을 알아보는 기초적인 내용부터 액션 같은 고급 기술들이 배우기 쉽게 설명되어 정말 유용했습니다. 아이디어 구상부터 차근차근 배우면 캐릭터를 구상해 나가는 과정이 재미있었습니다. '수줍은 곰'이라는 주제로 하나의 이모티콘을 만들었을 땐 뿌듯하고 '나도 할 수 있다'라는 자신감이 생겼습니다.끝으로 이모티콘을 다양한 플랫폼에 제안하는 방법과 작가로 활동하는 내용 담고 있습니다.이모티콘을 구상하고 출시하기까지 디자이너의 얼마나 힘들게 노력했을지 조금이나마 알 수 있었습니다. '카카오 이모티콘 만들기'라는 이모티콘 디자인 프로세스를 체계적이고 쉽게, 꼼꼼함까지 놓치지 않은 책이라고 생각합니다. 이모티콘을 제작해 보고 싶은데 시작이 어려운 분들께 많은 도움이 될 거예요.내가 만든 이모티콘이 가족, 친구들이 사용해 즐겁게 소통하면 정말 기쁠 것 같아요. 앞으로 다양한 감정과 상황을 표현할 수 있는 이모티콘을 만들어 플랫폼에도 제안해보고 싶습니다. '출판사로부터 도서를 제공받아 작성한 리뷰입니다'",9791165212698
3,카카오톡 이모티콘 만들기,5,5,하늘둥이,2020-09-29,소콘소콘의 카카오톡 이모티콘 만들기 책을 읽어 보았어요 :)카카오톡에서 이모티콘 없이는 대화 불가능 할 정도로 많이 사용하기에 관심이 정말 많답니다 때로는 한 마디 말보다 귀여운 이모티콘이 나의 심정을 대변해줄 때가 많기에 더 나랑 비슷한 성격의이모티콘이 없는지 새로 나온 이모티콘을 구경할 때가 많아요. 쵸키와 푸키의 이모티콘 작가 소콘소콘 님이 알려주는 카카오톡 이모티콘 만들기 비법을이 책을 통해 알 수 있답니다 ! 제목은 카카오톡 이모티콘 만들기이지만 밴드와 라인에서도 사용되는 이모티콘을 직저 만드는 방법과 수익까지 얻을 수 있도록 알려 준답니다 요즘은 정말 이모티콘 만들기 책도 많아졌는데 소콘소콘님의 책은 표지부터 넘 깜찍해서 눈길을 사로 잡았답니다              우선 준비물부터 사야겠죠? 아무래도 판 태블릿이 가장 많이 쓰이고요즘은 아이패드로도 많이들 만들더라구요 .. 액정태블릿도 소개되어 있어요 이름난 분들은 액정태블릿 많이들 쓰시는거 같아욤 :)              정말 이모티콘의 세계도 진짜 많다는 것을 느꼈는데요...직접 손수 그린 그림 뿐만 아니라 사진으로도 이모티콘을 출시 할 수 있다는 것을이 책을 통해 알게 됐지 뭐에요 ~ 1위에서 10위권 인기 이모티콘이다 손그림이어서 사진이 있는 줄 몰랐는지도 모르겠어요 ...               이모티콘 작가들은 어떻게 아이디어를 현실화 시키는지 궁금했는데이런 마인드맵을 통해 한다는 것을 알고 오호라 했네요 -길벗출판사 김소희 작가 ( 소콘소콘 )의 이모티콘 만들기 책 유용해요 ㅋㅋ            캐릭터를 만들면 프로필이 있어야 하는데 그런 가이드라인 만드는 꿀팁도 알려줘요다른 책에도 있는 부분이긴 하지만 소콘소콘님만의 팁이 있어서 좋았어요 그리고 어쩌면 이모티콘은 비슷한 캐릭터와의 대결이기도 하고 색상 싸움이기도 한 거 같아요승인 이후에 색 조절하는 방법을 알려주어서 참 유용했어요 :)           정적인 이모티콘도 좋아하지만 발랄하게 움직이는 이모티콘도 좋아하는데아무래도 만들려면 움직이지 않는 것에 비해 훨씬 복잡한 과정을 거치더라구요 그런 정교함을 어떻게 표현하는지 아주 자세히 이 책을 통해 소개해 주셨더라고요...하나의 동작을 위해서는 적어도 6가지 비슷한 그림이 필요하더라구요.표정은 같아도 동작은 살짝 미묘하게 달라지는 그런거 말이에요 !움직이는 이모티콘 만들기 비법을 상세하게 알고 싶다면 꼭 이 책을 읽어보세요 ..            작가로 활동하는데에 저작권 등록을 꼭 해야 하는 것은 아니지만캐릭터 사업으로 발전시킨다면 꼭 과쳐야 하는 과정이죠등록비용이 들더라구요. 캐릭터 저작권 등록하는 방법은 이 책 맨 마지막에 알려준답니다 내가 만들어 누구나 사용하는 카카오톡 이모티콘 만드는방법 알고 싶은 분들이라면누구나 읽어보면 좋겠어용~ 소콘소콘님만의 꿀팁이 있어 유용했어요제가 좋아하는 캐릭터 스타일로 그리시기 때문에 더 알차게 느껴졌습니다.,9791165212698
4,이모티콘 만들기,5,5,cj813,2020-09-29,점점 커져가는 이모티콘의 시장카카오톡 이모티콘을 볼 때 마다 어떻게 제작되는걸까?궁금했는데 이 책을 통해서 이모티콘 제작을 대해서 자세히 알게 된거 같네요이모티콘을 만들기 위해서 필요한 기구? 부터 나오네요저희집에 있는것도 있고 없는것도 있네요판 테블릿은 없지만 든든한 패드가 있어서 시작을 할 수 있을 것 같네요필요한 어플의 정보도 얻을 수 있고 시작하기 좋네요 이 책은 바로 제작을 알려주는게 아니라인기이모티콘 비결부터 기획콘센트와 디자인 콘센트제안시 이모티콘 설명까지 첫시작을 하기 위해 도움을 많이 받을 수 있는거 같네요이모티콘은 경험을 활용하고 근처에 있는 동물과생각을 계속 노트에 적으면서 정리를 해야 하는거 같네요이모티콘하면 카카오톡만 생각했는데카카오톡 뿐만아니라 밴드 네이버 마켓등등 여러플랫폼이 나와있어서참고 하기 좋았어요그리고 아직 포토샵이 익숙하지 않는데포토샵을 이용하는 방법이 나와있어서도움을 받았네요 크키고 변경까지 기획부터 등록까지 차근차근 따라가면서 이모티콘제작을 대해서 자세히 알수 있어서 좋았습니다메모지에 그림을 그리는 수준인데이걸로 용기를 받아서 패드를 이용해서 그려보려고 합니다,9791165212698
5,카카오톡 이모티콘,5,5,책읽는,2020-09-28,"다들 카카오톡 이모티콘 많이들 쓰시는데 한번쯤 만들어 보고 싶다는 생각...해보시지 않으셨나요?바로 그런 분들을 위해서 소개해 드릴 책이 있습니다 !소콘소콘 님의 내가 만들어 누구나 사용하는 카카오톡 이모티콘 만들기 (빠밤!)일단 본론으로 들어가기 전에 소콘소콘님은 쵸키와 푸키, 눈치보는 봉구 등 다양한 이모티콘을 만드신 카카오톡 작가님이신데 캐릭터들이 하나같이 너무 찰떡이라죠 ㅠㅠ아무튼 본격적으로 책을 소개해 드리자면이모티콘 제작 전 준비하기 - 이모티콘 기획과 제작 준비 - 직접 따라하며 이모티콘 그리고 제작하기 크게는 이렇게 나누어져 있습니다. 이모티콘 제작 전은 이모티콘이 어떠한 것인지 / 어떤 용도로 사용이 되는지 / 그리고 앞으로의 전망등 기본적인 아웃라인을 잡아 간다 생각하면 되는데요.우리는 이모티콘과는 뗄레야 뗄 수 없는 카톡 세대니까 가볍게 건너 뛰고 바로 본론으로 들어가자면파트 1. 이모티콘 제작을 위해 필요한 준비물 과 나름의 자료 조사 및 수집 단계 !파트2. 이모티콘 기획하기 - 아이디어 발전 및 기획파트 3. 캐릭터 설정하기 - 기본 캐릭터 만들기 및 연출하기파트 4. 콘티 만들기 - 24개의 메세지 정하고 스케치하기파트 5. 멈춰있는 이모티콘 만들기 - 포토샵 준비 및 활용파트 6. 움직이는 이모티콘 만들기 - 애니메이션 작업 준비 및 활용이렇게 총 6파트의 실제 이모티콘을 만들어 보는 섹션과만들어진 이모티콘을 실제 제안해 보는파트 7. 제안하기 - 플랫폼에 제안해보고 상품화과정 파트 8. 작가로 활동하기마지막 2 파트로 이모티콘을 만들때 필요한 모든 정보가 아주 상세히 설명 되어있어요.특히 실제 캐릭터를 만들어 보거나 메시지를 작성하는등 내가 직접 생각해보고 만들어야 하는 부분들이 많은 특성상 예시가 많은게 더욱 더 실제 활용해보기에 좋은 점같아요.더욱이 포토샵의 경우에는 순차적으로 하나씩 자세하게 사진으로 설명까지 해주시니 이게 바로 포토샵 활용법 마스터로 가는 지름길 !!! (솔직히 이 책만있으면 왠만한 포토샵은 포토샵 전문 책 없이도 할 수 있을꺼 같은...ㅋㅋㅋ) 마지막으로 요새 가장 인기가 많은 카카오톡 이모티콘 샵에만 제안 뿐만이 아닌 밴드 스티커샵이나 네이버 OGQ마켓, 모히톡 그리고 라인 과 같은 다양한 플랫폼 정보 역시 알려주는 것이 하나의 뽀인트 !약간의 덤으로 이모티콘이 승인이 났다면 그 후에 하면 좋을 ? 해야할 정보역시 같이 알려주시니 이것이 바로 소콘소콘 작가님의 스케일 아닌가 싶어요 ㅎㅎ",9791165212698
6,소콘소콘,5,5,dufdlrrj,2020-09-27,"* 저는 여러분이 직접 책을 읽어보셨으면 좋겠어서큰 부분만 살짝 맛보기로 리뷰를 작성하였습니다.총 평 : 만드는 법은 자까님이 알려주십니다중요한것은 나의 아이디어와 나의 끈기와 노력!아이디어 준비부터 차근차근 알려주시니까여러분은 함께 생각하고 실천에 옮기기만 하세요!소콘소콘 김소희 작가님의 이모티콘 만들기 안내서!좋은 기회로 소콘소콘 김소희 작가님의이모티콘 만들기 책을 받아 볼 수 있게 되었어요!(표지가 홀로그램으로 되어있어서 너무나도 영롱 ㅠㅠ♥)두세달 전부터 너무 해보고 싶었던 작업이라알아는 봤는데 만드는 과정도 쉽지만은 않고만들더라도 업체에서 승인이 나야 판매가 가능하기에진입장벽이 낮다고도 높다고도 할 수 없는 일이었어요그치만! 자까님의 안내서가 있으면혼자서 끙끙 대는것보다 훨-------------------씬다가가기 쉬울거에요 (확신)이모티콘 작가가 되고싶은분들은꼭! 한번은 읽어보셨으면 좋겠어요(정말 도움많이됨)예제나 완성파일을 받아 볼 수 있는 경로를 제일 처음에 안내해주시더라구요그외에도 모르거나, 막히는 부분이있다면홈페이지에서 1:1로 문의가 가능한 점도 매우 흡족했어요!저 진짜 진짜 직접 읽어보고실천하시는걸 추천해서 최소한으로 찍고리뷰했는데 괜히 성의없어보여서;부랴부랴 목차라도 찍어왔어요ㅎ_ㅎ여러분이 원하는 답이 이 책에 들어있길 바라요머리말 부터 위로 받고 들어가는 이 느낌이모티콘 작업하다 막히거나 힘들때다시 이 머리말을 읽어보자고 생각했어요관심있어서 이 글 까지 흘러오신 분들이정말 이 책을 꼭 직접 읽어보셨으면 좋겠어요!Q&A 10딱 봐도 많이 물어 볼 것 같은 질문 10개 ㅋ_ㅋ아직 책 시작 하지도 않았는데궁금했던거 반이상 풀렸어요그 어릴적 우리가 문자로 만들어쓰던 이모티콘부터우리가 이제 만들어보려는스티커 이모티콘까지이모티콘이 무엇인가 먼저 알아보는 시간!이제 진짜 본론직접 자료조사를 하는것도 물론 필요하지만어떻게 준비를 해야할지무엇을 알아야할지 기준점을 제시해주셔서나의 소중한시간을 자료수집에서 조금은 세이브 할 수 있지 않았나 싶어요중간중간 나에게 맞게 실습도 해보아요!그림도 직접 그려볼수있죠!이 부분은 아이패드 포토샵을 이용해서직접 실습해보는 부분인데예전에 저 포토샵 배울때 읽던 전문서적 느낌진짜 하나 하나 친절하게 설명 되어있어요!힇 또 다시 실습리뷰하느라구 정독보다는 구성을 봤는데얼른 하나 하나 순서대로 따라하면서 읽고싶어요!PC포토샵도 문제 없습니다!여전히 친절하게 설명 해주시니까요!그 뒤에 완성된 이모티콘을제안하는방법, 그리고 나의 이모티콘을 지키는방법(저작권등록방법)도자세하게 나와있답니다!이모티콘 만들기에 관심이 있는 분들은정말 읽어보시길 추천드려요친절한 책이거든요키워드로 찾아보고 싶은 부분을 찾아 볼 수 있는것도매우 흡-족그냥 도서 자체가 매우 친절한 느낌이어서더 좋았습니다PS. 자까님 적게 일하고 많이 버세요♥[출판사로부터 도서 협찬을 받았고 본인의 주관적인 견해에 의하여 작성하였습니다]",9791165212698
7,이모티콘책추천 :: 카카오톡이모티콘 만들기,5,5,stina00,2020-09-20,"카카오톡 이모티콘 만들기   매일 사용하는 카카오톡.저는 주로 기본 제공되는 이모티콘을 쓰다보니제 이모티콘엔 거의 카카오프렌즈가 등장해요가끔 카톡 친구추가하면 일정기간 동안 무료로 쓸 수 있는 이모티콘만 받아서 써봤기에카카오톡이모티콘 시장이 이렇게 큰 줄 몰랐어요사실 제가 무료 이모티콘 위주로 써서 그런지카톡 대화 중에 적합한 이모티콘이 없어서못 쓴 적이 많아요그렇다보니 이런 의미를 전달하는 이모티콘이 있었으면 좋겠다고 생각했던 적이 꽤 있었어요그래서 <카카오톡 이모티콘 만들기> 책이 궁금했어요사실 제가 책을 보고 스마트폰 드로잉을 했었는데,지인이 제 그림을 보고이모티콘만들기 해봐도 좋겠다고 하더라구요그때 살짝 이모티콘만들기에 관심이 생겼으나제가 적극적인 성격이 못 되는지라스마트폰 드로잉에서 이모티콘만들기로발전시킬 생각은 못 했어요<카카오톡 이모티콘 만들기>를 보니이모티콘 작가는 그림을 잘 못 그려도국적, 직업, 학력과 무관하게,(미성년자도!)누구든 도전할 수 있다지만이모티콘 작가 되기가 쉬운건 아닌 것 같아요인기 순위, 연령대별 선호 스타일도 알아야하고제작 가이드에 맞게 제작을 해야하는 등알아야 할 사항들이 많더라구요   물론 이모티콘 작가인 소콘소콘 김소희님이<카카오톡 이모티콘 만들기>에서 이런 사항들을자세히 알려주고 있지만요책 제목은 <카카오톡 이모티콘 만들기>지만카카오톡 뿐 아니라밴드 스티커샵, 네이버 OGQ 마켓,아프리카TV OGQ 마켓 등의 플랫폼의 이모티콘에 대해서도 알려줍니다사람들이 구매하고 싶어하는 이모티콘을 만드려면디지털 드로잉 실력도 필요하고,아이디어도 필요하고,트렌드도 파악해야하고,이모티콘의 유형과 특성도 알아야할 것 같아요저 같은 초보에게는 갈 길이 멀지만이모티콘에 대해서 알아가는건 무척 흥미로웠어요      저는 이 실습노트가 참 좋았어요저 같은 왕초보들도 <카카오톡 이모티콘 만들기>와 함께라면 도전해 볼 만한 것 같아요!미승인 되는 경우도 많지만다시 고치고 그리면서 실력이 는다고 해요소코소콘님도 7번의 도전 끝에 이모티콘 작가가 되었다고 해요 한 번 시작하면 끈기를 가지고 해야할 것 같아요이모티콘 작가가 되려면용기와 끈기를 가지고 도전해봐야겠지요?이모티콘제작에 관심이 있는데어떻게 해야할지 모르겠다면,<카카오톡 이모티콘 만들기>를이모티콘책으로 추천해봅니다[출판사로부터 도서 협찬을 받았고 본인의 주관적인 견해에 의하여 작성함]",9791165212698
8,누구나 쉽게 카카오톡이모티콘 만들수 있어요,5,5,blue8969,2020-09-20,"누구나 쉽게 . 마음만 먹으면, 카카오톡이모티콘만들수 있읍니다.표지도 예뿌고. 디자인 도 잘되어 있고. 구성도 좋아요^^우리집 초등 4학년도 휘리릭 보고 만들더라구요 ㅋ취미로 시작해 수익까지 창출하는 이모티콘 기획부터 제작, 승인 상품화까지 한권으로배울수 있어요^^ 본인스스로 만들어 작지만 쓸수록 커지는 매일의 즐거움, 이모티콘 말로는 다 전해지지 않은 마음을 표현해보세요^^",9791165212698
9,이모티콘을 만들고 싶다면~!,4,4,honi,2020-09-20,"제목은 카카오톡 이모티콘 만들기이지만, 밴드, 라인 등에 이모티콘을 제안해서 배포하는 방법까지 나와있는 책입니다.이모티콘을 만들기위한 준비에서 부터 아래와 같이 기획에서 제안까지 단계별로 자세하게 설명이 나와있습니다.※ 이모티콘 기획 > 캐릭터 설정 > 콘티 만들기 > 멈춰있는 이모티콘 작업하기 > 움직이는 이모티콘 작업하기 > 제안하기 > 작가로 활동하기그림을 잘 그리면 좋겠지만, 잘 그리지 못하더라도 책을 보며 연습과 제작을 해볼 수가 있구요.아래처럼 콘티를 연습해볼 수 있는 페이지도 있어요~나중에 자신감이 붙어서 나만의 캐릭터를 만든다면 이모티콘을 만들어 친구들에게 보내보는 것도 재미있을 것 같습니다. 요새는 유튜버들도 많은데, 그림 그리는 실력과 센스만 있다면 이모티콘을 그려서 해보는 것도 좋을 것 같아요.1억원 이상 매출을 낸 이모티콘이 1000개나 되고, 10억 원 이상 매출을 낸 이모티콘 시리즈는 55개나 된다고 합니다.관심은 있었지만 도전해 보지 못 했다면 이 책을 발판으로 나만의 이모티콘을 만들어보는데는 많은 도움이 될 것 같습니다. * 본 포스팅은 길벗출판사로부터 해당 도서만 무료 제공 받아 읽고 작성한 서평입니다.*",9791165212698
