,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
9791160850918,9791160850918,eBook [고화질] 천룡팔부 02권 [ COMIC ],김용 /황옥랑 그림,길찾기,2017년 02월 20일,1000,만화
9791160850901,9791160850901,eBook [고화질] 천룡팔부 01권 [ COMIC ],김용 /황옥랑 그림,길찾기,2017년 02월 20일,1000,만화
-1,-1,eBook [고화질] [할리퀸] 고집불통 자작의 취급 설명서 아름다운 로열 로맨스  [ COMIC ],사치미 리호,미스터블루,2020년 09월 25일,2000,만화
9791136724830,9791136724830,eBook [고화질] 더 콩쿠르(단행본) 13권 [ COMIC ],정설화,서울미디어코믹스,2020년 09월 18일,3000,만화
9791165078461,9791165078461,eBook [고화질] 두 사람은 밑바닥 내세에는 남남이 좋겠어 외전  [ COMIC ],코니시 아스카 글그림 / 박소현 역,S코믹스,2020년 08월 07일,1500,만화
9791109047393,9791109047393,eBook [고화질] [할리퀸] 프러포즈는 대담하게 [ COMIC ],하나츠 요시코  /  제니퍼 마이켈즈,,2019년 09월 10일,2000,만화
9791109023892,9791109023892,eBook [고화질] [할리퀸] 억만장자의 숨겨진 천사 [ COMIC ],코다 이쿠코  /  하이디 라이스,,2019년 08월 29일,2000,만화
9791109024066,9791109024066,eBook [고화질] [할리퀸] 트러블 로맨스 [ COMIC ],하시모토 타카코  /  제니퍼 라브렉,,2019년 08월 20일,2000,만화
9791133684472,9791133684472,eBook [고화질] 하이큐 34권 고양이의 발톱  [ COMIC ],후루다테 하루이치 글그림,대원,2019년 06월 27일,2700,만화
9791133681235,9791133681235,eBook [고화질] 하이큐 33권 괴물들의 향연  [ COMIC ],후루다테 하루이치 글그림,대원,2019년 03월 07일,2700,만화
9791133680078,9791133680078,eBook [고화질] 귀멸의 칼날 04 [ COMIC ],고토게 코요하루 글그림,학산문화사/DCW,2019년 02월 07일,2700,만화
9791133680061,9791133680061,eBook [고화질] 귀멸의 칼날 03 [ COMIC ],고토게 코요하루 글그림,학산문화사/DCW,2019년 02월 07일,2700,만화
9791133678358,9791133678358,eBook [고화질] 하이큐 32권 하켄  [ COMIC ],후루다테 하루이치 글그림,대원,2018년 12월 20일,2700,만화
9791133678341,9791133678341,eBook [고화질] 하이큐 31권 히어로  [ COMIC ],후루다테 하루이치 글그림,대원,2018년 12월 20일,2700,만화
9791133673117,9791133673117,eBook [고화질] 하이큐 30권 [ COMIC ],후루다테 하루이치 글그림,대원,2018년 08월 09일,2700,만화
9791133669301,9791133669301,eBook [고화질] 하이큐 29권 [ COMIC ],후루다테 하루이치 글그림,대원,2018년 05월 17일,2700,만화
9791133667055,9791133667055,eBook [고화질] 하이큐 28권 이틀째  [ COMIC ],후루다테 하루이치 글그림,대원,2018년 03월 15일,2700,만화
9791133663330,9791133663330,eBook [고화질] 헌터X헌터 신장판 01권 [ COMIC ],토가시 요시히로 글그림,학산문화사,2018년 01월 04일,3000,만화
9791131369821,9791131369821,eBook [대여] [고화질] [꽃님] 춘자고교 왕따 오춘자 11권 (완결) [ COMIC ],황미리 글그림,삼양출판사/꽃님,2017년 03월 20일,1000,만화
9791131369807,9791131369807,eBook [대여] [고화질] [꽃님] 춘자고교 왕따 오춘자 09권 [ COMIC ],황미리 글그림,삼양출판사/꽃님,2017년 03월 20일,1000,만화
9791131369791,9791131369791,eBook [대여] [고화질] [꽃님] 춘자고교 왕따 오춘자 08권 [ COMIC ],황미리 글그림,삼양출판사/꽃님,2017년 03월 20일,1000,만화
9791131369784,9791131369784,eBook [대여] [고화질] [꽃님] 춘자고교 왕따 오춘자 07권 [ COMIC ],황미리 글그림,삼양출판사/꽃님,2017년 03월 20일,1000,만화
-1,-1,eBook 공부 잘하는 법 [ PDF ],신종훈,목련,2012년 10월 12일,1000,만화
9791134871840,9791134871840,eBook [고화질] 카드캡터 사쿠라 클리어 카드 편 08권 [ COMIC ],CLAMP 글그림,학산문화사,2020년 09월 29일,3500,만화
9791165802547,9791165802547,eBook [고화질] 보석의 나라(단행본) 11권 [ COMIC ],이치카와 하루코,시프트코믹스,2020년 09월 29일,2700,만화
9791136246967,9791136246967,eBook [고화질] 열혈강호 81 [ COMIC ],전극진 글/양재현 그림,대원,2020년 09월 29일,2520,만화
9791137307483,9791137307483,eBook [고화질] 나의 히어로 아카데미아 27권 [ COMIC ],호리코시 코헤이 글그림/오경화 역,서울미디어코믹스(서울문화사),2020년 09월 29일,3000,만화
-1,-1,eBook [대여] [고화질묶음] 반지가 선택한 혼약자 (총2권/미완결),하야세 쥰 / 마츠유키 유에,시프트코믹스,2020년 09월 22일,3600,만화
