,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
9791190313513,9791190313513,이제라도 삶을 고쳐 쓸 수 있다면 내 삶에 돌이키고 싶은 순간마다 필요했던 철학 솔루션,이관호,웨일북,2020년 09월 18일,13500,인문
9791170431190,9791170431190,방구석 인문학 여행,남민,믹스커피,2020년 09월 20일,15300,인문
9791191095005,9791191095005,울림 산 자를 위로하는 죽은 자의 마지막 한마디,신동기,M31,2020년 09월 15일,13500,인문
9791158522957,9791158522957,존재와 상징 Man and His Symbols,칼 구스타프 융 /설영환 역,글로벌콘텐츠,2020년 09월 20일,16000,인문
9791164050772,9791164050772,괜찮다는 거짓말 우울증을 가리는 완벽주의 깨뜨리기,마거릿 로빈슨 러더퍼드 /송섬별 역,북하우스,2020년 09월 21일,15300,인문
9791158522940,9791158522940,사마천 《사기》 명언명구/세가,이해원,글로벌콘텐츠,2020년 09월 20일,14800,인문
9791189159726,9791189159726,내 맘대로 고전 읽기,최봉수,가디언,2020년 09월 22일,14400,인문
9788932474359,9788932474359,살며 사랑하며 기르며 당신을 위한 반려동물 인문학 수업,재키 콜리스 하비  / 김미정 역,을유문화사,2020년 09월 15일,16200,인문
9788964944615,9788964944615,"고제희의 정통 풍수 교과서 부와 성공을 부르는 주택·아파트·상가·사무실, 명당을 찾아내는 풍수의 비밀",고제희,보누스,2020년 10월 05일,22500,인문
9791190403849,9791190403849,"흔적을 남기는 글쓰기 쐐기문자에서 컴퓨터 코드까지, 글쓰기의 진화",매슈 배틀스 /송섬별 역,반비,2020년 08월 21일,17100,인문
9791190313186,9791190313186,지적 대화를 위한 넓고 얕은 지식 1 한 권으로 현실 세계를 통달하는 지식 여행서  [ 개정증보판 ],채사장,웨일북,2020년 02월 01일,14400,인문
9788925593395,9788925593395,"누구나 죽기 전에 꿈을 꾼다 호스피스 의사가 만난 1,400명의 죽음","크리스토퍼 커, 카린 마르도로시안 /이정미 역",알에이치코리아(RHK),2020년 09월 16일,14220,인문
9791127437084,9791127437084,만요슈 선집,사이토 모키치 /김수희 역,AK(에이케이 커뮤니케이션즈),2020년 09월 10일,14060,인문
9791155813102,9791155813102,걸어 다니는 어원 사전  모든 영어 단어에는 이야기가 있다,마크 포사이스 /홍한결 역,윌북(willbook),2020년 09월 07일,15120,인문
9791165212919,9791165212919,"다시, 신화를 읽는 시간 신화학의 거장 조지프 캠벨의 ‘인생과 신화’ 특강",조셉 캠벨 /권영주 역,더퀘스트,2020년 10월 05일,17100,인문
9791190908986,9791190908986,"하루 한 편, 세상에서 가장 짧은 명작 읽기 1",송정림,위즈덤하우스,2020년 09월 29일,14400,인문
9791190301084,9791190301084,우리 옆집에는 사이코패스가 산다,서종한,시간여행,2020년 09월 14일,14400,인문
9788901244471,9788901244471,인문학 리스타트 생각이 열리고 입이 트이는,박영규,웅진지식하우스,2020년 08월 26일,14400,인문
9791190938136,9791190938136,나를 지키는 매일 심리학 무자비한 세상에서 단단한 방패막이 되는 34가지 심리 법칙,오수향,상상출판,2020년 10월 05일,13500,자기계발
9791186118399,9791186118399,"굿바이 블랙독 내 안의 우울과 이별하기  [ 반양장, 개정판 ]",매튜 존스톤 /채정호 역,생각속의집,2020년 08월 28일,13500,인문
9791158511876,9791158511876,하루 10분 인문학,"이준형, 지일주 /인문학 유치원 해설",나무의철학,2020년 09월 10일,16200,인문
9791189969356,9791189969356,내 글이 구린 건 맞춤법 때문이 아니다 밋밋한 글을 근사하게 만드는 100가지 글쓰기 방법,개리 프로보스트 /장한라 역,행복한북클럽,2020년 08월 27일,13500,인문
9791190510066,9791190510066,하루 한 문장 대통령 연설비서관의 글쓰기,장훈,젤리판다,2020년 04월 02일,13500,인문
9791189995973,9791189995973,내일 세상을 떠나도 오늘 꽃에 물을 주세요 3천 명의 삶의 마지막을 위로한 감동의 언어 처방전  [ 개정판 ],히노 오키오 /김윤희 역,인플루엔셜,2020년 09월 07일,13320,인문
9791158511883,9791158511883,"인간으로 산다는, 그 어려운 일",보디팍사 /박산호 역,나무의철학,2020년 08월 30일,14400,에세이
9791190994156,9791190994156,언어의 뇌과학 이중언어자의 뇌로 보는 언어의 비밀,알베르트 코스타 /김유경 역,현대지성,2020년 08월 14일,13500,자연과학
9791160022971,9791160022971,톨스토이의 인생론,톨스토이 /이선미 역,메이트북스,2020년 08월 11일,9900,인문
9791187142591,9791187142591,논어,공자 /소준섭 역,현대지성,2018년 10월 01일,10800,인문
9791160023015,9791160023015,6주 만에 끝내는 공황장애 치유법,김영화,메이트북스,2020년 10월 05일,13500,자기계발
9788968332753,9788968332753,어디에나 있는 서점 어디에도 없는 서점 대형 서점 부럽지 않은 경주의 동네 책방 ‘어서어서’ 이야기,양상규,블랙피쉬,2020년 09월 28일,13500,인문
9791159315060,9791159315060,니체 입문,베르너 슈텍마이어 /홍사현 역,책세상,2020년 09월 21일,18000,인문
9791158771904,9791158771904,엄마의 고자질 노트 육아 극복 글쓰기,장정민,바이북스,2020년 09월 15일,11700,자기계발
9791187685456,9791187685456,박상익의 포토 인문학 사진으로 세상 읽기,박상익,정한책방,2020년 09월 13일,15300,인문
9788984058668,9788984058668,실리콘밸리로 간 노자 글로벌 기업은 왜 도덕경에서 혁신을 배우는가?,박영규,더난출판사,2020년 09월 08일,14400,경제 경영
9788959896813,9788959896813,뇌를 들여다보니 마음이 보이네 가정의학과 의사가 전하는 뇌과학으로 마음 읽기,이상현,미래의창,2020년 09월 14일,12600,인문
9791197051111,9791197051111,하루키는 이렇게 쓴다 무라카미 하루키에게 배우는 ‘맛있는 문장’ 쓰는 47가지 규칙,나카무라 구니오 /이현욱 역,밀리언서재,2020년 09월 15일,13500,자기계발
9788974798093,9788974798093,마음챙김에 대한 거의 모든 것 일러스트와 함께하는 단계별 마음챙김 명상 안내서  [ 양장 ],마이크 앤슬리 /트리나 댈지엘 그림/박지웅 역/켄. A. 베르니 감수,불광출판사,2020년 09월 02일,18000,인문
9791160022889,9791160022889,아우렐리우스의 명상록,"마르쿠스 아우렐리우스 /이현우, 이현준 편역",메이트북스,2020년 08월 11일,9900,인문
9791197038402,9791197038402,비현실의 감성 이인증과 자아손실,"다프네 시므온, 제프리 아브겔 /전혜진 역",까로트,2020년 08월 01일,14400,인문
9791185578491,9791185578491,인간의 130가지 감정 표현법 감정이 살아있는 캐릭터 만들기,"안젤라 애커만, 베카 푸글리시 /서준환 역",인피니티북스,2019년 12월 02일,18000,소설/시/희곡
9791196509484,9791196509484,"나는 나무에게 인생을 배웠다 세상에서 가장 나이 많고 지혜로운 철학자, 나무로부터 배우는 단단한 삶의 태도들",우종영 /한성수 편,메이븐,2019년 09월 27일,14400,인문
9791164710041,9791164710041,문명으로 읽는 종교 이야기 기독교 유대교 이슬람교 불교 힌두교 탄생의 역사,홍익희,행성B,2019년 08월 20일,25200,인문
9788982501326,9788982501326,성격이 자본이다 류지연의 에니어그램 특강,류지연,타래,2020년 10월 07일,13500,인문
9791155813119,9791155813119,이만하면 괜찮은 죽음 33가지 죽음 수업,데이비드 재럿 /김율희 역,윌북(willbook),2020년 10월 15일,14220,인문
9791130631707,9791130631707,공자의 마지막 공부 운명을 넘어선다는 것,김승호,다산초당,2020년 09월 29일,14400,인문
9788946421691,9788946421691,"창의적 생각의 발견, 글쓰기 창의적 글쓰기를 위한 아이디어 얻는 법",정희모,샘터,2020년 09월 22일,9000,인문
9788967358242,9788967358242,수전 손택 : 영혼과 매혹 [ 양장 ],다니엘 슈라이버 /한재호 역,글항아리,2020년 09월 23일,22500,인문
9791189404383,9791189404383,놀이중심 교육과정을 디자인하다 유아 스스로 주도하며 성장하는,"이은희, 유미열, 최유선, 이호필, 최영미",맘에드림,2020년 09월 25일,16200,사회 정치
9791165393922,9791165393922,"죽음 너머, 우리가 몰랐던 귀신 이야기",이원철,북랩,2020년 09월 21일,13320,인문
9788960535886,9788960535886,그림으로 읽는 장자 장자가 보여주는 자유와 행복의 진짜 조건,박홍순,마로니에북스,2020년 09월 11일,13500,인문
9791187911562,9791187911562,증후군이라도 문제없어 심리 치유와 마음 긍정 (feat.영화이야기),김선희,율도국,2020년 09월 20일,13500,인문
9791189584825,9791189584825,너에게는 별일 아닐지 몰라도   거절에 쉽게 상처받는 사람들을 위한 관계심리학,레슬리 베커 펠프스 /서진희 역,포레스트북스,2020년 09월 16일,14850,인문
9788994950433,9788994950433,"논어, 양심 덕후의 길",윤홍식,봉황동래,2020년 09월 01일,7200,인문
9791135486319,9791135486319,패거리 심리학 분열된 세계에서의 종족주의,세라 로즈 캐버너 /강주헌 역,비잉,2020년 09월 16일,16200,인문
9791196794460,9791196794460,소설과 함께 떠나는 다크투어,이다빈,아트로드,2020년 09월 09일,13500,인문
9791130631172,9791130631172,태도 수업 가장 담대한 나를 만드는 12가지 원칙,한재우,다산초당,2020년 09월 07일,13500,인문
9788935213252,9788935213252,한번에 10권 플랫폼 독서법 원하는 지식을 얻는 가장 빠른 방법,김병완,청림출판,2020년 09월 16일,13500,자기계발
9788974188313,9788974188313,죽음학과 임종의학개론 죽음 전에 꼭 알아야 할 준비 가이드,김달수,인간사랑,2020년 09월 10일,39000,인문
9791197031717,9791197031717,엄마와 춤을 추다 엄마와 딸을 위한 세 가지 열쇠,파트리시아 들라애 /조연희 역,일므디,2020년 09월 21일,14400,인문
9791159055560,9791159055560,명작의 공간을 걷다 [ 반양장 ],이경재,소명출판,2020년 08월 20일,22800,소설/시/희곡
9788932912554,9788932912554,시지프 신화 [ 양장 ],알베르 까뮈 /박언주 역,열린책들,2020년 08월 30일,10620,소설/시/희곡
9791163023517,9791163023517,탐식수필 미식 탐험을 위한 안내서,정상원,아침의정원,2020년 08월 25일,15300,인문
9788974798109,9788974798109,명상에 대한 거의 모든 것 일러스트와 함께 따라하기 쉬운 단계별 명상 안내서  [ 양장 ],지오반니 딘스트만 /서종민 역,불광출판사,2020년 09월 02일,18000,인문
9791159255618,9791159255618,"만들어지는 병, 조현병 내 삶의 주인이 내가 아닐 때",황상민,들녘,2020년 08월 05일,13500,인문
9788959967452,9788959967452,훈민정음 비밀코드와 신미대사 맥락적 근거로 파고든 한글 탄생 비밀 이야기,최시선,경진(도서출판),2020년 08월 15일,17000,인문
9791187147572,9791187147572,마음을 움직이는 향기의 힘,로베르트 뮐러-그뤼노브 /송소민 역,아날로그(글담),2020년 08월 25일,13050,인문
