,Title,ConRate,DesRate,Author,Date,Content,BookCode
10,엔지닉 반도체 전공면접 합격의 모든 것 이론 리뷰,5,3,donna0830,2020-09-19,"반도체 관련 지식이 별로 없으신 분들도 수월하게 처음부터 공부할 수 있는 기초부터 각 분야별 심화 내용까지 잘 정리 되어 있습니다. 하지만 중간중간 오타가 보입니다. 수정 부탁드립니다.엔지닉 반도체 강의와 들으면 더욱 더 정리가 잘 됩니다. 그리고 기출 문제와 접근전략, 판서팁, 모법답안까지 정리되어 있어서 매우 도움이 많이 됩니다.  정말 추천쓰 합니당",9791161980911
11,리뷰,5,5,delliy,2020-09-18,반도체에 대해 잘 모르는 초심자도 잘 볼 수 있게 하나부터 열까지 설명이 되있습니다. 추가로 책 앞에 있는 쿠폰번호를 이용하여 시작이 어려우신 분들을 위한 인터넷 강의도 있습니다.반도체 기업 취업을 목표로 하는 준비생들에게 아주 강추합니다!저도 반도체에 대해 하나도 모르지만 반도체 전문가들이 만들어주신 이 책으로 차근차근 공부하고 있습니다!이 책으로 코로나 때문에 힘든 이 시기에 모두 취업문을 두드릴 수 있도록 기원합니다.,9791161980911
12,2020 엔지닉 반도체 전공 면접 합격의 모든 것이 있습니다!,5,5,fhemapdlxm99,2020-09-18,"엔지닉 반도체 7일 완성 스터디를 하기 위해 책을 구매했습니다.반도체 관련 전공을 했지만 부족한 점이 많았는데, 알기 쉽게 구성되어 있는 것 같아 비 전공자 또한 쉽게 접할 수 있을 것 같습니다.반도체 사업의 정보, 이슈 등 설명과 공정별 그림과 설명이 이해하기 좋을 것 같습니다 서적과 함께 공부하면서 열심히 스터디 참여해보려고 합니다  :)반도체 이론 공부를 하시는 분들에게는 필수로 추천 드려요!!",9791161980911
13,2020 엔지닉 반도체 전공면접 합격의 모든 것 이론 완성편,5,5,tjgmlskfro,2020-09-18,"엔지닉 반도체 2주 스터디를 위해 책을 구매했지만 책 구성이 좋아 비전공자도 공부할 수 있을것같습니다. 학부시절 배웠던 반도체를 까먹어서 어려움이 있었는데 많은 도움이 되었습니다. 반도체 사업의 기초부터 구성되어있어 사업의 관계도를 알기 쉽고, 또한 공정별로 그림으로 자세하게 설명되어있어 이해하기 쉽습니다. 이번 하반기에 사업부 바꿔서 마지막으로 도전합니다. 인적성, 면접대비 열심히해서 후회없는 결과를 얻을 수 있도록 열심히 하겠습니다!",9791161980911
14,책,5,5,HARDSKY,2020-09-17,"비전공자가 기초부터 공부하기 좋은 상세한 책입니다. 상세한 내용을 원하면 선택할 만합니다. 이번에 엔지닉 반도체 강의를 듣게 되면서 교재도 구매해서 본격적으로 공부하려고 구매했습니다. 실제 보면서 너무 상세해서 어려운 내용도 있지만, 차근차근 설명을 따라가고 강의를 본 후 순서대로 따라간다면 반도체에 대해 잘 배울 수 있었습니다. 반도체 공부 필수 이론 공부를 원한다면 추천합니다.",9791161980911
15,[도서] 2020 엔지닉 반도체 전공면접 합격의 모든 것 이론 완성편,5,5,dongb123,2020-09-14,"반도체에 대한 설명이 잘되어있고 반도체 회사에 지원하기 위해서는 기본적으로 가지고 있으면 좋은책 같습니다. 덕분에 반도체에 대해도 알게 되었고 전공 면접을 준비할 수 있을 것 같습니다. 기존 모호했던 반도체 소자 구성 원리나 시스템 반도체, 메모리반도체의 신기술 동향에 대해서도 준비할 수 있는 좋은 서적입니다.  이 책으로 꼭 이번에 삼성전자에 붙겠습니다!",9791161980911
16,엔지닉 반도체 2주 리뷰,5,5,sks3676,2020-09-13,"엔지닉 반도체 2주 스터디를 위해 책을 구매했지만 반도체 공채 처음 준비하는 저로서 많은 도움이 되었습니다. 이번 하반기 마지막일지도 모를 공채에 최선을 다해 후회없는 결과를 얻을 수 있도록하겠습니다. 그러는데 있어 이번 책이 많은 도움이 되었습니다.또한 반도체 장비 회사가 어디가 있는지 알게 되었고, 관련해서 준비해가도록 하겠습니다.그리고 관련 책을 다른 책도 구매해보았는데 엔지닉 책이 공정에 대해선 그림과 설명이 비교적 좋았습니다.",9791161980911
17,덕분에 반도체 스터디 잘하구 있습니다!,5,5,rori0108,2020-09-13,"우연히 엔지닉 반도테 스터디를 시작하게 도어반도체 스터디를 이 책으로 동시에 진행하고 있는데요 덕분에 반도체 소자와 반도체의 원리, mosfet 관련 내용, 반도체 공정 관련 지식을 정리할 수 있어서 너무 좋았어요!이 책과 더불어 엔지닉애서 진행하는 스터디도 직무분석과 가업분석도 같이 해주셔서 취업 준비하기 편하네욤이 책으로 취업 준비해서 삼성전자나 하이닉스 가고 싶어요!",9791161980911
18,비전공자여도 두려워말고 도전!,5,5,ownsgks,2020-09-11,"엔지닉 반도체 스터디를 통해 알게 된 교재입니다.비전공자라 반도체 공부에 두려움이 있었습니다만, 처음 공부할 때 어려운 회로도, 화학식, 전자에 대한 개념 등을 잘 공부하고 넘어간다면, 이후 공정에 대한 내용들은 이해가 수월했습니다.스터디 인터넷 강의 자체는 책의 모든 내용을 다루진 않고, 핵심적인 내용만 다루었는데, 이 외의 내용들은 스스로 공부해야 했습니다. 그럼에도 불구하고, 크게 어려운 부분이 없었습니다. 용어들이 많이 생소했지만, 반도체 산업 관련 용어집이 함께 소책자로 포함되어 있어 다양한 반도체 용어들을 배우기 편했습니다. 전체적으로 교재의 내용 뿐 아니라, 디자인도 보기 편하고, 깔끔하게 되어있습니다.이 교재로 열심히 공부해서 다들 좋은 소식 들을 수 있길 바랍니다.",9791161980911
19,반도체 전공 면접 기본서로 제격인 것 같아요!!,5,5,인기공,2020-09-11,"엔지닉 스터디로 인해 책으로 함께 공부하고 있는데 좋아요이전에 샀던 반도체 전공면접 책은 오탈자도 많고 번역해놓은 느낌이 강해서 어려웠었는데, 이 책은 되게 자세하게 나와있더라구요!스터디는 아직 시작 전이지만, 열심히해서 2주동안 빠지지 않고 잘하고 싶습니다.서류 붙고 면접 준비할 때 더 유용하게 쓸 것 같습니다.꼭 지금 스터디 열심히해서, 면접장의 모든 질문을 대답할 수 있었으면 좋겠네요 ㅎㅎ",9791161980911
