,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
-1,-1,eBook [100% 페이백] [대여] 그 샘물을 마시면,산독기,매그놀리아,2020년 09월 23일,3300,로맨스
-1,-1,eBook [100% 페이백] [대여] [세트] 관능의 에이프런 (총2권/완결),스팅,페퍼민트,2020년 09월 25일,8000,로맨스
9791136805485,9791136805485,eBook 겨울 문방구 1권 [ EPUB ],박영,마롱,2020년 09월 04일,3500,로맨스
9791135314001,9791135314001,eBook 루머 아닌 루머 [ EPUB ],서혜은,피플앤스토리,2020년 07월 30일,3800,로맨스
9791165654368,9791165654368,eBook 그림자의 아이 [ EPUB ],한설온,필,2020년 09월 01일,3700,로맨스
9791164092697,9791164092697,eBook 도원향 1권 [ EPUB ],Magoing,시계토끼,2020년 09월 16일,4500,로맨스
9791130046068,9791130046068,eBook 설렘의 기억 [ EPUB ],서은수,가하,2020년 07월 24일,3600,로맨스
-1,-1,eBook [100% 페이백] [대여] [세트] 살랑살랑 미친 여우 (총3권/완결) [ 9/4~9/17 페이백 받기 잊지 마세요! ],과줄,매그놀리아,2020년 09월 04일,11300,로맨스
9791136805492,9791136805492,eBook 겨울 문방구 2권 (완결) [ EPUB ],박영,마롱,2020년 09월 04일,3500,로맨스
9791129357533,9791129357533,eBook 로판인 줄 알았는데 괴담이다 1권 [ EPUB ],물푸울,CL프로덕션,2020년 05월 28일,3500,로맨스
9791164704033,9791164704033,eBook 너의 세계 1 [ EPUB ],이슬현,텐북,2020년 07월 20일,2880,로맨스
9791131596333,9791131596333,eBook [세트] 나를 사랑하지 않는 그대에게 (총2권/완결),rarae,FEEL(필),2019년 10월 02일,6400,로맨스
9791158109905,9791158109905,eBook 잘 알지도 못하면서 1권 [ EPUB ],조인영,봄 미디어,2020년 09월 28일,2800,로맨스
-1,-1,eBook [대여] [세트] 겨울 문방구 (총2권/완결),박영,마롱,2020년 09월 04일,7000,로맨스
9791164955176,9791164955176,eBook 송곳니 [ EPUB ],마뇽,에이블,2020년 09월 28일,1500,로맨스
-1,-1,"eBook [100% 페이백] [대여] 야수의 달달함을 이용하지 말라 [ 8/21~8/27 페이백 받기 잊지 마세요!, EPUB ]",반해주,하트퀸,2020년 08월 18일,3000,로맨스
9791165773250,9791165773250,eBook 돌이킬 수 없는 1권 [ EPUB ],피치라떼,페퍼민트,2020년 09월 29일,2430,로맨스
9791158109912,9791158109912,eBook 잘 알지도 못하면서 2권 (완결) [ EPUB ],조인영,봄 미디어,2020년 09월 28일,2800,로맨스
9791164955008,9791164955008,eBook 여러 해를 사는 나무여 (외전) [ EPUB ],디키탈리스,에이블,2020년 09월 21일,2000,로맨스
9791164972418,9791164972418,"eBook [100% 페이백] [대여] 딜라이트(Delight) [ 7/10~7/16 페이백 받기 잊지 마세요!, EPUB ]",콩윤,하트퀸,2020년 06월 18일,3000,로맨스
9791165460679,9791165460679,eBook 치트라 1권 [ EPUB ],태선,피오렛,2020년 09월 07일,4500,로맨스
9791190731102,9791190731102,eBook 페일 블루 - 다프네 018 [ EPUB ],김다함,다프네,2020년 07월 17일,1500,로맨스
-1,-1,"eBook [100% 페이백] [대여] 어플로 만난 남자 [ 7/24~7/30 페이백 받기 잊지 마세요!, EPUB ]",한소미,로아,2020년 07월 07일,3500,로맨스
9791132251422,9791132251422,eBook [세트] 솔라 레메게톤 (외전 포함) (총11권/완결),유안나,와이엠북스,2019년 08월 14일,57000,로맨스
9791164092703,9791164092703,eBook 도원향 2권 (완결) [ EPUB ],Magoing,시계토끼,2020년 09월 16일,4500,로맨스
9791164954445,9791164954445,eBook 여러 해를 사는 나무여 2권 (완결) [ EPUB ],디키탈리스,에이블,2020년 07월 28일,3000,로맨스
9791163197638,9791163197638,eBook 신데렐라를 곱게 키웠습니다 2권 [ EPUB ],키아르네,피오렛,2019년 10월 01일,3800,로맨스
9791155639993,9791155639993,eBook 당신의 연인 (외전증보판) [ EPUB ],정경하,시크릿e북,2020년 09월 18일,3800,로맨스
9791165292218,9791165292218,eBook 흑막 용을 키우게 되었다 3권 [ EPUB ],달슬,로즈엔,2020년 09월 15일,3600,로맨스
9791165292225,9791165292225,eBook 흑막 용을 키우게 되었다 4권 [ EPUB ],달슬,로즈엔,2020년 09월 15일,3600,로맨스
9791165292232,9791165292232,eBook 흑막 용을 키우게 되었다 5권 (완결) [ EPUB ],달슬,로즈엔,2020년 09월 15일,3700,로맨스
9791164092604,9791164092604,eBook 피폐 소설 속 남편을 보살펴 주었다 1권 [ EPUB ],해꽃,시계토끼,2020년 09월 07일,3200,로맨스
9791129357540,9791129357540,eBook 로판인 줄 알았는데 괴담이다 2권 (완결) [ EPUB ],물푸울,CL프로덕션,2020년 05월 28일,3500,로맨스
9791164954438,9791164954438,eBook 여러 해를 사는 나무여 1권 [ EPUB ],디키탈리스,에이블,2020년 07월 28일,3000,로맨스
